Label,species,taskid,plate_num,object,background,compartment,ilastik_model,capture_datetime,OutFile,elapsed_hours,elapsed_days
At_20251103_020,At,20251103,20,52,11875409,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:37:17Z,NA,0,0
At_20251103_039,At,20251103,39,63,11875398,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:14Z,NA,0,0
At_20251103_035,At,20251103,35,83,11875378,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:12Z,NA,0,0
At_20251103_042,At,20251103,42,0,11875461,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_033,At,20251103,33,387,11875074,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:11Z,NA,0,0
At_20251103_038,At,20251103,38,21,11875440,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:14Z,NA,0,0
At_20251103_048,At,20251103,48,61,11875400,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:44Z,NA,0,0
At_20251103_058,At,20251103,58,16,11875445,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:07:52Z,NA,0,0
At_20251103_055,At,20251103,55,20,11875441,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:25Z,NA,0,0
At_20251103_037,At,20251103,37,8,11875453,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:13Z,NA,0,0
At_20251103_041,At,20251103,41,0,11875461,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:42Z,NA,0,0
At_20251103_052,At,20251103,52,78,11875383,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:24Z,NA,0,0
At_20251103_034,At,20251103,34,116,11875345,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:11Z,NA,0,0
At_20251103_050,At,20251103,50,111,11875350,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:23Z,NA,0,0
At_20251103_059,At,20251103,59,165,11875296,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:07:51Z,NA,0,0
At_20251103_057,At,20251103,57,13,11875448,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:07:53Z,NA,0,0
At_20251103_046,At,20251103,46,17,11875444,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_043,At,20251103,43,194,11875267,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_036,At,20251103,36,7,11875454,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:12Z,NA,0,0
At_20251103_045,At,20251103,45,60,11875401,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_044,At,20251103,44,76,11875385,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:40Z,NA,0,0
At_20251103_047,At,20251103,47,193,11875268,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:00:41Z,NA,0,0
At_20251103_040,At,20251103,40,0,11875461,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:59:15Z,NA,0,0
At_20251103_053,At,20251103,53,0,11875461,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:25Z,NA,0,0
At_20251103_051,At,20251103,51,20,11875441,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:24Z,NA,0,0
At_20251103_049,At,20251103,49,95,11875366,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T10:06:22Z,NA,0,0
